,sa_company_name,f_score
568,SOUTHERN MAGNESIUM & CHEMICALS LTD.,2
569,SOWBHAGYA MEDIA LTD.,1
570,SPARTEK CERAMICS INDIA LTD.,1
571,SPECTRA INDUSTRIES LTD.,1
572,S R H H L INDUSTRIES LTD. [MERGED],2
573,SREE UMA PARAMESWARI MILLS LTD.,1
574,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,1
575,SRI GANAPATHY MILLS CO. LTD.,2
576,SRI VISHNU CEMENT LTD. [MERGED],2
577,STANDARD INDUSTRIES LTD.,2
578,STANDARD SURFACTANTS LTD.,2
579,STEEL STRIPS WHEELS LTD.,2
580,STELCO STRIPS LTD.,2
581,STERLING BIOTECH LTD.,2
582,STERLITE INDUSTRIES (INDIA) LTD. [MERGED],2
583,STILES INDIA LTD.,2
584,B S E LTD.,2
585,STOCKNET INTERNATIONAL LTD.,2
586,VARDHMAN CONCRETE LTD.,2
587,STRIDES PHARMA SCIENCE LTD.,2
588,SUBROS LTD.,2
589,SUN EARTH CERAMICS LTD.,2
590,SUNCITY SYNTHETICS LTD.,2
591,SUPER FORGINGS & STEELS LTD.,2
592,SUPERIOR AIR PRODUCTS LTD. [MERGED],1
593,S D F INDUSTRIES LTD.,2
594,SUPREME INDUSTRIES LTD.,2
595,SUPREME TEX MART LTD.,2
596,SURAJ INDUSTRIES LTD.,2
597,SURANA INDUSTRIES LTD.,2
598,SURYA INDUSTRIAL CORPN. LTD.,2
599,NECTAR LIFESCIENCES LTD.,2
600,SURYA PHARMACEUTICAL LTD.,2
